DEPTH,A,B,C_predicted
3313.6332,56.23804,54.70474,52.7610843015594
3313.7856,58.46435,54.82032,53.41447729620431
3313.938,64.54544,54.7657,53.9213908588518
3314.0904,66.98754,55.31053,56.02583076416435
3314.2428,64.62719,55.47881,56.32576935376252
3314.3952,64.20777,56.41339,59.343827674792486
3314.5476,63.12769,55.17264,55.133996238266356
3314.7,66.22549,56.32076,59.28222258379002
3314.8524,67.91879,56.21125,59.11919438071173
3315.0048,70.95031,54.36489,53.208569495759086
3315.1572,68.27687,68.89416,91.97173710733311
3315.3096,65.36303,68.85261,91.37111147609009
3315.462,67.9669,70.03048,94.03185425751452
3315.6144,57.18988,74.11529,98.47834783074482
3315.7668,51.36327,75.45818,98.96152873330571
3315.9192,62.27582,75.98405,102.17328920961718
3316.0716,51.04325,75.80629,99.33937683977659
3316.224,35.91031,77.58148,97.0614530367294
3316.3764,34.25845,78.27355,97.2494551033791
3316.5288,43.48559,80.52697,102.66938437481944
3316.6812,47.07419,81.63172,104.81663346798794
3316.8336,52.6945,83.46695,108.06771754843517
3316.986,44.47474,84.66079,106.73625572722864
3317.1384,52.12718,86.1989,110.18897946012997
3317.2908,40.81427,87.57123,107.7660603578253
3317.4432,51.41939,87.12223,110.69448127600768
3317.5956,62.43621,86.16909,112.77674874074091
3317.748,65.95238,85.1514,112.74687865016045
3317.9004,61.34755,85.13216,111.67335533095316
3318.0528,55.42491,84.25443,109.46991138115035
3318.2052,60.2453,82.41618,108.9843370025523
3318.3576,54.79005,80.76728,106.0283861308895
3318.51,45.62486,80.47915,103.2580247904081
3318.6624,41.61396,82.00044,103.51130333564248
3318.8148,47.37943,83.21122,106.36620349120835
3318.9672,48.32887,71.36484,92.19482183458352
3319.1196,37.75075,75.17471,94.75027774902908
3319.272,30.58394,72.7624,89.0060928194524
3319.4244,26.97429,76.14678,91.96073829764488
3319.5768,15.2562,98.49804,100.52982805421937
3319.7292,17.94017,98.48932,102.54799579637937
3319.8816,18.87264,98.77276,103.30034116873468
3320.034,18.67682,99.35355,103.38271185760304
3320.1864,11.9966,99.91695,98.14345048918287
3320.3388,11.84101,99.45167,97.83114557401125
3320.4912,13.70657,99.12261,99.45407692447463
3320.6436,25.38835,98.68891,107.16744274960911
3320.796,11.27926,98.42727,96.90490419353237
3320.9484,20.04625,100.33818,104.65063517455046
3321.1008,7.62767,100.67123,93.30878696716373
3321.2532,7.53759,101.51209,93.43814023566904
3321.4056,7.37098,101.96703,93.33464795433753
3321.558,4.94109,102.44566,89.43061938717253
3321.7104,4.79889,101.12112,88.78053271650133
3321.8628,4.71336,99.90555,88.25060738276804
3322.0152,9.25992,100.01872,95.21361565243082
3322.1676,10.48066,100.12192,96.64480157302225
3322.32,21.90084,99.14352,105.3723725030248
3322.4724,15.40565,98.02959,100.47344231610462
3322.6248,29.9828,97.76344,109.0659522956727
3322.7772,50.91886,97.51847,116.61825145107109
3322.9296,45.78446,97.77777,115.14335798893926
3323.082,65.40421,96.62501,120.04489759025007
3323.2344,65.08563,56.59981,60.05129984037238
3323.3868,73.0153,56.61971,61.02387882110285
3323.5392,55.78407,56.70713,59.197737242846536
3323.6916,29.99384,56.08012,52.82405375673235
3323.844,21.93334,56.90951,53.114493090577895
3323.9964,21.92678,57.17838,53.85564335867677
3324.1488,20.39496,57.21568,53.47300210008978
3324.3012,25.15485,57.05073,54.43337041036569
3324.4536,40.62508,57.25016,58.44984556083414
3324.606,48.75188,56.20463,56.607535070860216
3324.7584,42.22743,57.69678,60.063587943566404
3324.9108,46.31751,57.76033,60.97179098591346
3325.0632,72.19872,57.78152,64.65571332655165
3325.2156,98.32178,57.12491,65.15527041601443
3325.368,127.0058,57.70373,69.3757199172999
3325.5204,130.5425,57.63722,69.40152445795611
3325.6728,100.1044,57.2964,65.88271467575014
3325.8252,74.9506,57.1183,62.85533026125912
3325.9776,50.53892,57.36427,60.46596276495504
3326.13,45.42498,57.30917,59.473287628542174
3326.2824,39.79963,57.23022,58.23696632409597
3326.4348,35.70786,58.02853,59.73466740549817
3326.5872,42.69327,57.19023,58.644850236422265
3326.7396,35.83216,57.42191,58.01748942148184
3326.892,33.42385,57.60208,58.02156872301393
3327.0444,34.4758,57.78295,58.76930984801177
3327.1968,44.51399,57.63268,60.28277179796702
3327.3492,43.0822,57.48056,59.579232663737436
3327.5016,40.99123,57.42554,59.03694298994483
3327.654,52.40883,59.68392,67.55562082088646
3327.8064,38.05233,67.24254,82.21989255551425
3327.9588,23.42425,68.68662,79.83585552818823
3328.1112,22.98589,71.29699,83.76731710573452
3328.2636,23.83629,72.20087,85.4620590968535
3328.416,33.90953,72.98332,90.5001121809907
3328.5684,36.57698,74.1778,93.04949271586487
3328.7208,25.64398,76.32146,91.57998607994469
3328.8732,23.82355,78.35411,92.96198651824464
3329.0256,33.79149,79.80356,98.68638637752146
3329.178,35.3273,81.06095,100.48600899151985
3329.3304,37.17127,82.25171,102.25186636838247
3329.4828,32.68977,83.38627,101.56977729658821
3329.6352,46.98719,83.62282,106.61423555385139
3329.7876,49.55343,83.14014,106.92066883081498
3329.94,47.55455,84.27339,107.33783228009567
3330.0924,40.07369,85.32653,105.84634528333781
3330.2448,42.29351,86.14834,107.21799342540191
3330.3972,52.30057,86.5023,110.47049704366958
3330.5496,61.6716,86.00484,112.46491716909026
3330.702,51.90938,85.82159,109.83348315669302
3330.8544,43.60673,84.68862,106.4884761245926
3331.0068,34.33477,83.55565,102.3502642098895
3331.1592,37.50821,82.42267,102.52423636825137
3331.3116,30.19103,79.73952,97.21788340462058
3331.464,23.7668,79.89902,94.47930368067966
3331.6164,26.6972,77.30917,93.17240056557391
3331.7688,21.81237,77.04515,90.54899625353204
3331.9212,19.02077,76.3513,88.25585523149087
3332.0736,16.544,74.98315,85.19137446442745
3332.226,13.00273,74.27635,81.90498015485619
3332.3784,14.07629,74.10261,82.48635893026248
3332.5308,14.30714,73.80503,82.28661738059856
3332.6832,12.72312,73.5989,80.87531490671813
3332.8356,14.9124,72.36949,80.86415114788872
3332.988,14.29086,70.70208,78.14896170437781
3333.1404,14.87269,70.0762,77.6123023585961
3333.2928,20.14573,69.60462,79.83175911560555
3333.4452,17.6454,69.29335,78.04369383992113
3333.5976,20.60924,69.54046,79.95617113135579
3333.75,24.68568,71.38248,84.64811063074615
3333.9024,30.7058,72.22629,88.27703785092554
3334.0548,44.63908,73.67101,94.74559630548461
3334.2072,42.74913,75.08739,96.15960958662528
3334.3596,70.51533,77.39561,105.67712508862262
3334.512,78.30355,83.93293,114.2196373939919
3334.6644,83.11172,86.51443,117.35287101165142
3334.8168,78.90943,87.23266,117.12802773919638
3334.9692,89.08654,91.04346,121.7622381859003
3335.1216,99.81049,89.77573,122.72056759536034
3335.274,101.8415,86.68942,120.6735699390683
3335.4264,88.93481,86.0771,118.03721195116314
3335.5788,72.86773,85.73241,114.71295135978265
3335.7312,53.48046,84.26327,108.97188762802962
3335.8836,32.23962,82.53512,100.66070998824246
3336.036,38.61468,79.7853,100.36563780213972
