DEPTH,A,B
3367.7352,252.4813,66.58015
3367.8876,262.0777,67.36458
3368.04,197.0584,67.42298
3368.1924,162.9658,69.34852
3368.3448,102.655,68.60356
3368.4972,89.16341,70.70159
3368.6496,140.3671,71.87812
3368.802,62.11644,72.6998
3368.9544,43.47226,73.66169
3369.1068,26.07736,73.79275
3369.2592,29.77596,73.99886
3369.4116,35.61739,73.6341
3369.564,36.08736,71.622
3369.7164,30.84239,71.30577
3369.8688,25.52385,70.69278
3370.0212,23.08629,69.57877
3370.1736,21.21212,69.31557
3370.326,20.23568,69.05281
3370.4784,21.62225,69.79816
3370.6308,22.66057,70.32885
3370.7832,28.93948,71.26382
3370.9356,29.07129,71.79345
3371.088,20.05593,71.50492
3371.2404,19.3713,72.80547
3371.3928,20.96068,73.91927
3371.5452,19.98355,73.78699
3371.6976,18.14272,73.73844
3371.85,16.79607,73.56903
3372.0024,18.18121,73.68317
3372.1548,29.16729,73.93064
3372.3072,34.48342,75.69546
3372.4596,53.68269,76.20488
3372.612,49.0631,76.24587
3372.7644,51.63653,74.59261
3372.9168,45.26662,75.36878
3373.0692,22.55639,77.59861
3373.2216,20.434,76.49459
3373.374,11.09996,75.38576
3373.5264,9.41971,74.34328
3373.6788,12.4772,72.83641
3373.8312,16.9479,71.4453
3373.9836,18.08152,71.28114
3374.136,11.83064,71.36554
3374.2884,9.75021,71.77766
3374.4408,12.30816,70.76417
3374.5932,18.42731,70.1934
3374.7456,19.0557,69.70273
3374.898,17.84173,69.02586
3375.0504,12.45323,69.04714
3375.2028,10.10172,69.10493
3375.3552,7.53112,70.02856
3375.5076,9.15286,69.88238
3375.66,12.42419,69.64439
3375.8124,16.5649,69.71511
3375.9648,23.72474,69.52061
3376.1172,27.9762,68.31144
3376.2696,32.84137,69.89433
3376.422,34.55738,69.09709
3376.5744,41.95301,69.68572
3376.7268,54.71428,69.34724
3376.8792,90.36058,69.49117
3377.0316,99.2898,70.70912
3377.184,86.3653,71.44402
